PROTEINA	PROTEINB
PAB1	
PAC10	
PAC10	
PAC10	
PAC10	
PAN1	
PAN1	
PAN1	
PAN2	
PAP1	
PAP1	
PAP1	
PAP1	
PAT1	
PAT1	
PAT1	
PAT1	
PAT1	
PAT1	
PAT1	
PAT1	
PAT1	
PBN1	
PBP2	
PBS2	
PBS2	
PCF11	
PCF11	
PCF11	
PCF11	
PCL2	
PCL2	
PCL5	
PCL6	
PCL7	
PCL9	
PCL9	
PDA1	
PDA1	
PDA1	
PDB1	
PDB1	
PDB1	
PDB1	
PDB1	
PDS1	
PEA2	
PEP3	
PEP3	
PEP3	
PEP5	
PET122	
PET494	
PEX14	
PEX14	
PEX19	
PEX5	
PEX5	
PEX5	
PEX7	
PEX7	
PEX7	
PEX7	
PEX7	
PFK1	
PFS2	
PGD1	
PGD1	
PGD1	
PHO85	
PHO85	
PHO85	
PHO85	
PIB2	
	
PIG2	GSY2
PKC1	RHO1
PKC1	FKS1
PKC1	PAB1
PKH1	YPL004C
PKH1	YGR086C
POB3	POL1
POL1	CTF4
POL12	POL1
POL12	PRI2
POL12	PRI1
POL2	DPB2
POL30	POL32
POL32	POL1
POL32	CDC2
POL32	HYS2
POM152	NUP188
POP1	SNM1
POP2	DBF2
POP5	RPP1
POP5	POP7
POP7	POP1
POP7	POP6
POP7	POP4
POP7	RPP1
POP7	POP3
POP8	POP7
PPA1	VMA8
PPA1	TFP1
PPH21	RTS1
PPH21	TAP42
PPH22	TAP42
PRE1	PRE2
PRE1	PRE3
PRE1	PRE9
PRE1	PUP3
PRE1	SCL1
PRE1	PUP2
PRE1	PRE8
PRE1	PRE10
PRE1	PRE5
PRE1	PRE6
PRE4	PRE8
PRE4	SCL1
PRE7	PRE1
PRE8	PRE6
PRE8	PRE5
PRE9	PRE8
PRI1	PRI2
PRP11	CUS2
PRP11	MUD2
PRP11	TIF4631
PRP11	PRP21
PRP19	SNT309
PRP3	PRP4
PRP31	PRP4
PRP31	PRP8
PRP40	STO1
PRP40	YHC1
PRP43	PRP8
PRP45	PRP46
PRP45	SYF1
PRP6	PRP4
PRP6	SME1
PRP6	PRP31
PRP6	BRR2
PRP6	SPP381
PRP6	SMD1
PRP6	PRP8
PRP8	PRP4
PRP8	SMD3
PRP8	SNP1
PRP8	SNU114
PRP9	SPC24
PRP9	PRP21
PRT1	TIF5
PRT1	TIF35
PRT1	GCD10
PSR1	WHI2
PTA1	YTH1
PTA1	YSH1
PTA1	CFT2
PTA1	FIP1
PTA1	CFT1
PTA1	PAP1
PTC3	YDR071C
PTC4	YDR071C
PUP1	PUP3
PUP3	PRE8
PUP3	SCL1
PXA2	PXA1
RAD10	RAD1
	
RAD14	RAD1
RAD16	RAD7
RAD17	DDC1
RAD18	RAD6
RAD23	PUP1
RAD23	RPT1
RAD23	PRE1
RAD23	RAD4
RAD23	RPT6
RAD24	RFC2
RAD3	CCL1
RAD51	RAD52
RAD51	APC2
RAD52	RFA2
RAD55	RAD51
RAD6	UBR1
RAD9	RAD53
RAM1	RAM2
RAP1	GCR1
RAS2	IRA2
RCK1	HOG1
RDH54	DMC1
RDI1	RHO1
RDI1	CDC42
REF2	GLC7
REF2	FIR1
REG1	SDS22
REG1	GLC7
RET1	RPC40
RET2	RET3
RET2	SEC21
RET2	SEC27
RET2	SEC28
RFA1	RFA2
RFA1	RAD52
RFA1	RFA3
RFA2	RFA3
RFA3	RAD52
RFC2	RFC4
RFC2	RFC3
RFC3	RFC4
RFC4	RFC1
RFC5	RFC1
RFC5	RFC2
RFC5	RAD24
RFC5	RFC3
RFC5	RFC4
RGD1	FYV8
RGR1	MED7
RIF1	RAP1
RIF1	RIF2
RIM20	RIM101
RIP1	COB
RIP1	GLE2
RNA14	CLP1
RNA14	PFS2
RNA15	CLP1
RNA15	RNA14
RNR1	SML1
RNR1	RNR2
RNR1	RNR4
RNR1	RNR3
RNR2	RNR4
RNR3	RNR2
RNR3	RNR4
RNT1	SRP1
ROM2	RHO1
ROX3	NUT2
ROX3	MED4
ROX3	GAL11
ROX3	CSE2
ROX3	MED11
ROX3	MED6
ROX3	SRB5
ROX3	NUT1
ROX3	MED8
ROX3	SRB7
ROX3	SRB4
ROX3	PGD1
ROX3	SRB2
ROX3	RGR1
ROX3	SIN4
ROX3	MED7
RPA12	RPO26
RPA12	RPC40
RPA12	RPA190
RPA12	RPB10
RPA12	RPB8
RPA12	RPA43
RPA12	RPA135
RPA12	RPC19
RPA135	RPC40
	
RPA135	RPB5
RPA135	RPC10
RPA14	RPA12
RPA190	RPO26
RPA190	RPA135
RPA190	RPC40
RPA43	RPA190
RPA49	RPC40
RPA49	RPA190
RPB10	RPC40
RPB10	RPA190
RPB10	RPB3
RPB3	RPB8
RPB3	RPB2
RPB3	RPC19
RPB3	MED7
RPB3	RPB11
RPB3	MED4
RPB3	RPB4
RPB3	RPO21
RPB5	RPC40
RPB5	RET1
RPB5	RPA190
RPB5	RPB2
RPB5	RPC34
RPB5	RPA12
RPB5	RPB9
RPB5	RPO21
RPB5	RPB7
RPB5	RPB3
RPB5	RPC25
RPB5	RPO31
RPB7	RPB8
RPB7	RPB4
RPB7	RPB9
RPB7	RPB3
RPB7	RPB11
RPB7	RPB2
RPB8	RPC40
RPB8	RPA190
RPB9	RPO26
RPB9	RPB2
RPB9	RPB3
RPB9	RPB4
RPC17	RPC31
RPC17	BRF1
RPC17	RPC11
RPC19	RPC40
RPC19	RPA190
RPC19	RPO31
RPC19	RET1
RPC19	RPA135
RPC25	RPC82
RPC25	RET1
RPC25	RPC34
RPC25	RPO31
RPC25	RPB10
RPC25	RPO26
RPC25	RPB8
RPC25	RPC40
RPC31	RPC82
RPC31	RPO31
RPC31	RPC34
RPC31	RPC40
RPC34	RPC82
RPC34	RPO31
RPC34	RPC40
RPC34	RET1
RPC34	RPB8
RPC40	RPC82
RPC40	RPO26
RPC53	RPC37
RPD3	SIN3
RPG1	PRT1
RPG1	SLA2
RPG1	SUI1
RPG1	TIF34
RPG1	NIP1
RPL10	RPL11A
RPL10	RPL26A
RPL10	RPP0
RPL10	RPL17A
RPL10	RPL4A
RPL11A	RPL26A
RPL11A	RPL19A
RPL11A	RPL19B
RPL11B	RPL5
RPL11B	RPL10
RPL11B	RPL26A
RPL11B	RPL25
RPL11B	RPL3
RPL11B	RPL2B
	
RPL11B	RPL19B
RPL11B	RPL19A
RPL11B	RPL28
RPL11B	RPL26B
RPL12A	RPL5
RPL12A	RPL25
RPL12A	RPL10
RPL12A	RPL26A
RPL12A	RPL3
RPL12B	RPL5
RPL12B	RPL3
RPL12B	RPL25
RPL12B	RPL26A
RPL12B	RPL10
RPL14B	RPL34A
RPL15B	RPL43A
RPL16A	RPL5
RPL16A	RPL18A
RPL16A	RPL18B
RPL16A	RPL10
RPL16A	RPL26B
RPL16A	SXM1
RPL16A	RPL28
